Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Male,0,Enter,f12e7756-888f-4ef7-aa60-9cdcb09e1818,"Feb 24, 2026 11:10:15 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Enter,2fb590ce-94a3-4f54-b326-97e057eaa960,"Feb 24, 2026 11:10:16 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Female,0,Exit,732ff5e4-9d77-43c7-8b97-95e6ae821886,"Feb 24, 2026 11:10:21 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Enter,732ff5e4-9d77-43c7-8b97-95e6ae821886,"Feb 24, 2026 11:10:42 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Exit,2fb590ce-94a3-4f54-b326-97e057eaa960,"Feb 24, 2026 11:10:47 PM",Bien,Bien,Mal,,
3,Zona_permanencia,,Estanteria Principal,,,Enter,d205,11:12:15,Mal,,Mal,Evento no registrado,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Enter,03f2c1d2-0796-4787-b19e-dd70f02671c5,"Feb 24, 2026 11:12:16 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Exploracion 2,Male,0,Exit,f12e7756-888f-4ef7-aa60-9cdcb09e1818,"Feb 24, 2026 11:12:19 PM",Bien,Bien,Mal,,
3,Zona_permanencia,,Estanteria Principal,,,Enter,d205,11:12:22,Mal,,Mal,Evento no registrado,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Estanteria Principal,Female,0,Exit,03f2c1d2-0796-4787-b19e-dd70f02671c5,"Feb 24, 2026 11:12:23 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Exit,732ff5e4-9d77-43c7-8b97-95e6ae821886,"Feb 24, 2026 11:12:24 PM",Bien,Bien,Mal,Oclusión genera cambio de ID,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Enter,fdf00053-cde0-47a8-916a-b0852269a6cb,"Feb 24, 2026 11:12:26 PM",Bien,Bien,Mal,,
